# Index v4 with path prefix compression (Class A golden, phase 5)
# go-git: plumbing/format/index Encoder.encodeEntryNameV4 / TestEncodeV4
# Layout: 12-byte header + 2 entries (v4 names, no 8-byte padding) + 20-byte SHA-1 trailer
# Sorted names: "bar", "baz/bar" (common prefix "ba")
# V4 name wire: VLQ(strip_len) + suffix + NUL  (no padEntry)
# entry0 "bar":     strip=0  VLQ 0x00 + "bar\0"
# entry1 "baz/bar": strip=1  VLQ 0x01 + "z/bar\0"  (drop 1 from prev, keep "ba")
# Fixed fields (ctime..hash) zeroed for determinism; flags = name length only
package: plumbing/format/index
case: v4_prefix_compression
signature: DIRC
signature_hex: 44495243
version: 4
entry_count: 2
names_sorted: bar,baz/bar
header_hex: 444952430000000400000002
entry0_name_wire_hex: 0062617200
entry0_flags_hex: 0003
entry1_name_wire_hex: 017a2f62617200
entry1_flags_hex: 0007
entry_fixed_zeros_hex: 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
body_hex: 4449524300000004000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003006261720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007017a2f62617200
checksum: de0a2f9b3a55c5ebd78885859ff27cd60dab9784
file_hex: 4449524300000004000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003006261720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007017a2f62617200de0a2f9b3a55c5ebd78885859ff27cd60dab9784
size_bytes: 168
